regime,state,group,year,ci90_width,width_pct_change_vs_main
wide_combined,Madhya Pradesh,By2021,2030,0.5371691649013068,-0.4125301290165184
wide_combined,Madhya Pradesh,By2021,2040,0.6826107027873309,0.44305361811441524
wide_combined,Madhya Pradesh,By2021,2050,0.7287224643988905,2.7873502155283814
wide_combined,Maharashtra,By2016,2030,0.3723459342542448,0.40580702971899224
wide_combined,Maharashtra,By2016,2040,0.4786077367340045,-2.2219602258352524
wide_combined,Maharashtra,By2016,2050,0.5153600521232631,-4.202033794303451
wide_combined,Manipur,NotYet,2030,0.46373630591205073,-5.062570926243787
wide_combined,Manipur,NotYet,2040,0.5273064293437857,-3.465910133904624
wide_combined,Manipur,NotYet,2050,0.5631540238493771,-2.328265440735686
wide_combined,Meghalaya,NotYet,2030,0.7018064020723369,0.6057689758268379
wide_combined,Meghalaya,NotYet,2040,0.7666695936037753,3.161227823573736
wide_combined,Meghalaya,NotYet,2050,0.7908977483541937,4.239640403899501
wide_combined,Mizoram,By2021,2030,0.49285450490542826,1.6189496390739184
wide_combined,Mizoram,By2021,2040,0.546490204788868,-0.8877430858762594
wide_combined,Mizoram,By2021,2050,0.5842078359354153,-0.8084016242232246
wide_combined,Nagaland,By2021,2030,0.5109177234796849,-0.519647412090812
wide_combined,Nagaland,By2021,2040,0.5667456111802911,0.926680039534622
wide_combined,Nagaland,By2021,2050,0.5977884050021911,3.5177191723965344
wide_combined,Odisha,By2016,2030,0.42762300821258403,0.3812288288416644
wide_combined,Odisha,By2016,2040,0.5280499378553363,-0.6955669768921016
wide_combined,Odisha,By2016,2050,0.5644998279698012,-2.425926441049546
wide_combined,Puducherry,Pre2001,2030,0.49326396125635075,-6.5701927952615025
wide_combined,Puducherry,Pre2001,2040,0.5441921627666366,-3.612125801417948
wide_combined,Puducherry,Pre2001,2050,0.5719640069306449,-2.446836004988699
wide_combined,Punjab,By2011,2030,0.4060191688663637,-1.5431386780377894
wide_combined,Punjab,By2011,2040,0.4983652353167696,-3.4786667346528097
wide_combined,Punjab,By2011,2050,0.5346186751244528,-3.0422696859572502
wide_combined,Rajasthan,By2021,2030,0.5194238733450971,-3.209105376974296
wide_combined,Rajasthan,By2021,2040,0.6462993795016119,-0.5289571382223434
wide_combined,Rajasthan,By2021,2050,0.6773221831036083,-2.7851477590498197
wide_combined,Sikkim,By2011,2030,0.45770778701174797,3.335451103521497
wide_combined,Sikkim,By2011,2040,0.5088324196286371,-0.07122572771773338
wide_combined,Sikkim,By2011,2050,0.5315938768036333,-1.858070304127557
wide_combined,Tamil Nadu,Pre2001,2030,0.3690247977096164,-2.193184486437287
wide_combined,Tamil Nadu,Pre2001,2040,0.4695011436054003,0.8838864127143797
wide_combined,Tamil Nadu,Pre2001,2050,0.49782629688581514,-3.4544208829583396
wide_combined,Telangana,By2011,2030,0.41870036127579424,-2.4356518170314367
wide_combined,Telangana,By2011,2040,0.5297140030770573,1.747803628406558
wide_combined,Telangana,By2011,2050,0.5637712884996777,-0.025844777454620996
wide_combined,Tripura,By2016,2030,0.4675493271202491,1.3141555269919445
wide_combined,Tripura,By2016,2040,0.5110126673975135,-1.3506561338055945
wide_combined,Tripura,By2016,2050,0.5412544250529475,-2.7315015195064043
wide_combined,Uttar Pradesh,NotYet,2030,0.5686119302018904,1.1934779407484366
wide_combined,Uttar Pradesh,NotYet,2040,0.7330492996771643,6.049244125318947
wide_combined,Uttar Pradesh,NotYet,2050,0.7858000477143601,8.059565302684272
wide_combined,Uttarakhand,By2016,2030,0.4320721713813802,-0.4678942081800345
wide_combined,Uttarakhand,By2016,2040,0.5443412162243042,0.6183724298606406
wide_combined,Uttarakhand,By2016,2050,0.567802893620323,-2.1705141590974866
wide_combined,West Bengal,By2011,2030,0.3817446307409331,-2.623962890724404
wide_combined,West Bengal,By2011,2040,0.46727171995349304,-6.115948832565335
wide_combined,West Bengal,By2011,2050,0.5049794398627857,-3.8334620996847266
tight_combined,Andaman & Nicobar Islands,By2011,2030,0.45978271595784337,3.729855943071673
tight_combined,Andaman & Nicobar Islands,By2011,2040,0.5247345727650375,4.010104081644296
tight_combined,Andaman & Nicobar Islands,By2011,2050,0.551840750641346,0.9916573521708092
tight_combined,Andhra Pradesh,By2011,2030,0.4338352484732544,1.0556444174896054
tight_combined,Andhra Pradesh,By2011,2040,0.5463999853641563,2.4547863236632184
tight_combined,Andhra Pradesh,By2011,2050,0.5839659403087316,4.9242845453526
tight_combined,Arunachal Pradesh,By2016,2030,0.5654638798685878,1.043668991013204
tight_combined,Arunachal Pradesh,By2016,2040,0.6112114827377697,-1.7814944430328914
tight_combined,Arunachal Pradesh,By2016,2050,0.6402447767909114,3.3601176921089353
tight_combined,Assam,By2021,2030,0.4654462992631798,2.939621491570129
tight_combined,Assam,By2021,2040,0.5854078018410833,1.7225700388421212
tight_combined,Assam,By2021,2050,0.6238528372599981,0.27327734648217394
tight_combined,Bihar,NotYet,2030,0.621852832326359,-1.5979377529644103
tight_combined,Bihar,NotYet,2040,0.7493845797337793,-0.5581792996349225
tight_combined,Bihar,NotYet,2050,0.7949744398511978,0.8937651966162939
tight_combined,Chandigarh,By2011,2030,0.5420317313936704,1.1500575581163863
tight_combined,Chandigarh,By2011,2040,0.5863622566731177,3.236277374098009
tight_combined,Chandigarh,By2011,2050,0.6116977693449546,6.256601941094273
tight_combined,Chhattisgarh,By2021,2030,0.5128661789059705,5.838468430244081
tight_combined,Chhattisgarh,By2021,2040,0.627287874414604,0.41834233791122544
tight_combined,Chhattisgarh,By2021,2050,0.6641648204797164,-1.2343742267675566
tight_combined,Dadra & Nagar Haveli and Daman & Diu,By2021,2030,0.5867518900502098,0.6121663045195167
tight_combined,Dadra & Nagar Haveli and Daman & Diu,By2021,2040,0.645971424520366,0.4805930716803883
tight_combined,Dadra & Nagar Haveli and Daman & Diu,By2021,2050,0.649656070294433,-2.0890024796080544
tight_combined,Delhi,By2016,2030,0.3485222554638565,3.7580638379205187
tight_combined,Delhi,By2016,2040,0.4639510148983981,6.021802922049195
tight_combined,Delhi,By2016,2050,0.5209163019855063,4.926385557763101
tight_combined,Goa,Pre2001,2030,0.49850272238825255,6.7667311198914675
